Artists,Name,Rank,Date,Genre,Writing Credits,Lyrics,Songwriter
Ed Sheeran,Shape Of You,1,6-Jan-17," Atlantic Records , Tropical House , Dancehall , Pop  ,  UK ","Tameka Harris, Kandi, Kevin Briggs, Ed Sheeran, Johnny McDaid & Steve Mac","Shape of You
The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow
And you come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singing like
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
One week in we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play, and I'm singing like
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
",True
"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito,2,17-Apr-17," Universal Republic Records , Translation , Universal ,  Canada , Def Jam , Republic Records , Reggaeton , Latin Music , En Español , Latin Pop , Remix , Pop  ","Poo Bear, Marty James, Justin Bieber, Luis Fonsi, Erika Ender & Daddy Yankee","Despacito Remix
Comin' over in my direction
So thankful for that, it's such a blessin', yeah
Turn every situation into heaven, yeah
Oh-oh, you are
My sunrise on the darkest day
Got me feelin' some kind of way
Make me wanna savor every moment slowly, slowly
You fit me tailor-made, love how you put it on
Got the only key, know how to turn it on
The way you nibble on my ear, the only words I wanna hear
Baby, take it slow so we can last long
¡Oh! Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso oh yeah
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
Sube, sube, sube
Sube, sube
Quiero ver bailar tu pelo, quiero ser tu ritmo woah, woah
Que le enseñes a mi boca woah, woah
Tus lugares favoritos favorito, favorito, baby
Déjame sobrepasar tus zonas de peligro woah, woah
Hasta provocar tus gritos woah, woah
Y que olvides tu apellido
Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bom, bom
Sabes que esa beba está buscando de mi bom, bom
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
Sube, sube, sube
Sube, sube
Quiero ver bailar tu pelo, quiero ser tu ritmo woah, woah
Que le enseñes a mi boca woah, woah
Tus lugares favoritos favorito, favorito, baby
Déjame sobrepasar tus zonas de peligro woah, woah
Hasta provocar tus gritos woah, woah
Y que olvides tu apellido
Despacito
This is how we do it down in Puerto Rico
I just wanna hear you screaming, ""¡Ay, Bendito!""
I can move forever cuando esté contigo
¡Bailalo!
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
Favorito, favorito, baby
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos Fonsi
Y que olvides tu apellido D.Y.
Despacito
",True
Bruno Mars,That's What I Like,3,30-Jan-16," Funk , R&B  , Pop  ","Ray Charles McCullough II, Ray Romulus, Jeremy Reeves, Jonathan Yip, James Fauntleroy, Brody Brown, Philip Lawrence & Bruno Mars","That's What I Like
Hey, hey, hey
I got a condo in Manhattan
Baby girl, what's
hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami
Wake up with no jammies Nope
Lobster tail for dinner
Julio serve that scampi Julio!
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
I'm talkin' trips to Puerto Rico
Say the word and we go
You can be my freaka
Girl, I'll be a fleeko, mamacita
I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave
Shopping sprees in Paris
Everything 24 karats
Take a look in that mirror
Now tell me who's the fairest
Is it you? is it you? Is it me? is it me?
Say it's us say it's us and I'll agree, baby
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind what's on your mind
If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
",True
Kendrick Lamar,Humble.,4,30-Mar-17," Trap , Aftermath Entertainment , Interscope Records , West Coast , Compton , TDE , Rap  ","Asheton Hogan, Mike WiLL Made-It & Kendrick Lamar","HUMBLE.
Nobody pray for me
It's been that day for me
Waaaaay yeah, yeah!
Ayy, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits, but now I’m countin' this
Parmesan where my accountant lives, in fact I'm downin’ this
D'USSÉ with my boo bae tastes like Kool-Aid for the analysts
Girl, I can buy yo' ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down: we playin' Tetris
A.M. to the P.M., P.M. to the A.M., funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know
Bitch, be humble hol’ up, bitch
Sit down hol’ up, lil', hol’ up, lil' bitch
Be humble hol' up, bitch
Sit down hol' up, sit down, lil’, sit down, lil' bitch
Be humble hol' up, hol' up
Bitch, sit down hol' up, hol' up, lil' bitch
Be humble lil' bitch, hol' up, bitch
Sit down hol' up, hol' up, hol' up, hol' up
Be humble hol' up, hol' up
Sit down hol' up, hol' up, lil', hol' up, lil' bitch
Be humble hol' up, bitch
Sit down hol' up, sit down, lil', sit down, lil' bitch
Be humble hol' up, hol' up
Bitch, sit down hol' up, hol' up, lil' bitch
Be humble lil' bitch, hol' up, bitch
Sit down hol' up, hol' up, hol' up, hol' up
Who dat nigga thinkin' that he frontin' on Man-Man? Man-Man
Get the fuck off my stage, I'm the Sandman Sandman
Get the fuck off my dick, that ain't right
I make a play fucking up your whole life
I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretch marks
Still will take you down right on your mama's couch in Polo socks
Ayy, this shit way too crazy, ayy, you do not amaze me, ayy
I blew cool from AC, ayy, Obama just paged me, ayy
I don't fabricate it, ayy, most of y'all be fakin', ayy
I stay modest 'bout it, ayy, she elaborate it, ayy
This that Grey Poupon, that Evian, that TED Talk, ayy
Watch my soul speak, you let the meds talk, ayy
If I kill a nigga, it won't be the alcohol, ayy
I'm the realest nigga after all
Bitch, be humble hol' up, bitch
Sit down hol' up, lil', hol' up, lil' bitch
Be humble hol' up, bitch
Sit down hol' up, sit down, lil', sit down, lil' bitch
Be humble hol' up, hol' up
Bitch, sit down hol' up, hol' up, lil' bitch
Be humble lil' bitch, hol' up, bitch
Sit down hol' up, hol' up, hol' up, hol' up
Be humble hol' up, hol' up
Sit down hol' up, hol' up, lil', hol' up, lil' bitch
Be humble hol' up, bitch
Sit down hol' up, sit down, lil', sit down, lil' bitch
Be humble hol' up, hol' up
Bitch, sit down hol' up, hol' up, lil' bitch
Be humble lil' bitch, hol' up, bitch
Sit down hol' up, hol' up, hol' up, hol' up
",True
"The Chainsmokers, Coldplay",Something Just Like This,5,22-Feb-17," Adult Alternative , Alternative Rock , Electronic Rock , Columbia Records ,  UK , East Coast , New York , Electro-Pop , Electronic , Dance , Pop  ","Will Champion, Guy Berryman, Jonny Buckland, Andrew Taggart & Chris Martina","Something Just Like This
I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list
But she said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
I want something just like this
I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits
She said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss
I want something just like this
I want something just like this
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this
",False
"Migos, Lil Uzi Vert",Bad And Boujee,6,27-Aug-16," Quality Control Music , Atlantic Records , 300 Entertainment , Memes , Trap , Atlanta , Rap  ","Metro Boomin, Lil Uzi Vert, Takeoff, Offset, Quavo & G Koop","Bad and Boujee
You know, young rich niggas
You know so we ain't really never had no old money
We got a whole lotta new money though, hah
If Young Metro don't trust you I'm gon' shoot ya
Hey!
Raindrop drip, drop top drop top
Smokin' on cookie in the hotbox cookie
Fuckin' on your bitch, she a thot, thot thot
Cookin' up dope in the crockpot pot
We came from nothin' to somethin', nigga hey
I don't trust nobody, grip the trigger nobody
Call up the gang and they come and get ya gang
Cry me a river, give you a tissue hey
My bitch is bad and boujee bad
Cookin' up dope with a Uzi blaow
My niggas is savage, ruthless savage
We got 30's and 100 rounds too grrah
My bitch is bad and boujee bad
Cookin' up dope with a Uzi dope
My niggas is savage, ruthless hey
We got 30's and 100 rounds too glah
Offset, whoo, whoo, whoo, whoo, whoo!
Rackaids on rackaids, got back-ends on back-ends
I'm ridin' around in a coupe coupe
I take your bih right from you you
Bitch, I'm a dog, roof grr
Beat the ho walls loose hey
Hop in the frog, whoo skrt
I tell that bih to come comfort me comfort me
I swear these niggas is under me hey
They hate and the devil keep jumpin' me jumpin' me
Bankrolls on me keep me company cash
Ayy, we do the most
Yeah, pull up in Ghosts whoo
Yeah, my diamonds a choker glah
Holdin' the fire with no holster blaow
Rick the Ruler, diamonds cooler cooler
This a Rollie, not a Muller hey
Dabbin' on 'em like the usual dab
Magic with the brick, do voodoo magic
Courtside with a bad bitch bitch
Then I send the bitch through Uber go
I'm young and rich and plus I'm bougie hey
I'm not stupid so I keep the Uzi rrah
Rackaids on rackaids, got back-ends on back-ends
So my money makin' my back ache aagh
You niggas got a low Act rate Act
We from the Nawf, yeah, dat way nawf
Fat Cookie blunt in the ashtray cookie
Two bitches, just national smash day smash
Hop in the Lamb, have a drag race skrt
I let them birds take a bath, bae brr
Raindrop drip, drop top drop top
Smokin' on cookie in the hotbox cookie
Fuckin' on your bitch, she a thot, thot thot
Cookin' up dope in the crockpot pot
We came from nothin' to somethin', nigga hey
I don't trust nobody, grip the trigger nobody
Call up the gang and they come and get ya gang
Cry me a river, give you a tissue hey
My bitch is bad and boujee bad
Cookin' up dope with a Uzi blaow
My niggas is savage, ruthless savage
We got 30's and 100 rounds too grrah
My bitch is bad and boujee bad
Cookin' up dope with a Uzi dope
My niggas is savage, ruthless hey
We got 30's and 100 rounds too glah
Pour a four, I'm droppin' muddy, outer space—Kid Cudi drank
Introduce me to your bitch as wifey and we know she sluttin'
Broke a brick down, nutted butted, now that nigga duckin'
Don't move too fast, I might shoot ya huh?, Draco bad and boujee draco,
I'm always hangin' with shooters brrah, might be posted somewhere secluded private
Still be playin' with pots and pans, call me Quavo Ratatouille
Run with that sack, call me Boobie run with it
When I'm on stage show me boobies ayy
Ice on my neck, I'm the coolest ice
Hop out the suicide with the Uzi pew-pew-pew
I pull up, I pull up, I pull up
I hop out with all of the drugs and the good luck skrrt
I'm cookin', I'm cookin', I'm whippin'
I'm whippin' into a rock up, let it lock up lock up
I gave her 10 racks
I told her go shoppin' and spend it all at the pop up ten
These bitches, they fuck and suck dick
And they bustin' for Instagram, get your clout up
Uh, yeah, dat way, float on the track like a Segway go
Yeah, dat way, I used to trap by the Subway trappin'
Yeah, dat way, young nigga trap with the AK rrrah
Yeah, dat way, big dyke ho, get the door, Macy Gray hey
Raindrop drip, drop top drop top
Smokin' on cookie in the hotbox cookie
Fuckin' on your bitch, she a thot, thot thot
Cookin' up dope in the crockpot pot
We came from nothin' to somethin', nigga hey
I don't trust nobody, grip the trigger nobody
Call up the gang and they come and get ya gang
Cry me a river, give you a tissue hey
My bitch is bad and boujee bad
Cookin' up dope with a Uzi blaow
My niggas is savage, ruthless savage
We got 30's and 100 rounds too grrah
My bitch is bad and boujee bad
Cookin' up dope with a Uzi dope
My niggas is savage, ruthless hey
We got 30's and 100 rounds too glah
Yeah, yeah, yeah, yeah, yeah
My bitch, she bad to the bone
Ayy, wait, these niggas watchin'
I swear to God they be my clones
Yeah, hey, huh
Switchin' my hoes like my flows what?
Switchin' my flows like my clothes like what?
Keep on shootin' that gun, don't reload
Ooh, ooh, now she want fuck with my crew
'Cause the money come all out the roof
Drive the Rari, that bitch got no roof skrt
Wait, what kind of Rari? 458 damn
All of these niggas, they hate they hate
Try to hide, shoot through the gate
Look, go to strip club, make it rain
Yeah, so much money they use rakes
Count a hundred thousand in your face in your face
Yeah, then put 300 right in the safe
Met her today, yeah
She talk to me like she knew me, yeah
Go to sleep in a jacuzzi, yeah
Wakin' up right to a two-piece, yeah
Countin' that paper like loose leaf, yeah
Gettin' that chicken with blue cheese, yeah
Boy, you so fake, like my collar you snakin'
I swear to God that be that Gucci ayy
And you know we winnin' winnin'
Yeah, we is not losin'
Try to play your song, it ain't move me what?
Saw your girl once, now she choosin', yeah
Raindrop drip, drop top drop top
Smokin' on cookie in the hotbox cookie
Fuckin' on your bitch, she a thot, thot thot
Cookin' up dope in the crockpot pot
We came from nothin' to somethin', nigga hey
I don't trust nobody, grip the trigger nobody
Call up the gang and they come and get ya gang
Cry me a river, give you a tissue hey
My bitch is bad and boujee bad
Cookin' up dope with a Uzi blaow
My niggas is savage, ruthless savage
We got 30's and 100 rounds too grrah
My bitch is bad and boujee bad
Cookin' up dope with a Uzi dope
My niggas is savage, ruthless hey
We got 30's and 100 rounds too glah
",True
"The Chainsmokers, Halsey",Closer,7,29-Jul-16," Columbia Records , Dance , Electronic , Pop  ","Alex Pall, Halsey, Shaun Frank, Frederic Kennett & Andrew Taggart","Closer
Hey, I was doing just fine before I met you
I drink too much
And that's an issue, but I'm okay
Hey, you tell your friends
It was nice to meet them
But I hope I never see them again
I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that Blink-182 song
That we beat to death in Tucson, okay
I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
",False
Sam Hunt,Body Like A Back Road,8,1-Feb-17," Pop  , Country  ","Sam Hunt, Zach Crowell, Josh Osborne & Shane McAnally","Body Like a Back Road
Got a girl from the south side, got braids in her hair
First time I seen her walk by, man I 'bout fell off my chair
Had to get her number, it took me like six weeks
Now me and her go way back like Cadillac seats
Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can
The way she fit in them blue jeans, she don't need no belt
But I can turn them inside out, I don't need no help
Got hips like honey, so thick and so sweet
It ain't no curves like hers on them downtown streets
Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can
We're out here in the boondocks
With the breeze and the birds
Tangled up in the tall grass
With my lips on hers
On the highway to heaven
Headed south of her smile mm
Get there when we get there
Every inch is a mile
Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can
I'ma take it slow
As fast as I can
Body like a back road
Drivin' with my eyes closed
I know every curve like the back of my hand
",False
Imagine Dragons,Believer,9,1-Feb-17," Adult Alternative , Indie Rock , Alternative Pop , Alternative Rock , Pop-Rock , Alternative , Electro-Pop , Rock  , Pop  ","Robin Fredriksson, Mattman & Robin, Wayne Sermon, Dan Reynolds, Daniel Platzman, Ben McKee, Imagine Dragons, Justin Tranter & Mattias Larsson","Believer
First things first
I'ma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second thing second
Don't you tell me what you think that I could be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh
I was broken from a young age
Taking my sulking to the masses
Writing my poems for the few
That look at me, took to me, shook to me, feeling me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh let the bullets fly, oh let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer
Third things third
Send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh
I was choking in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke open and rained down
And rained down, like...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh let the bullets fly, oh let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer
Last things last
By the grace of the fire and the flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke open and rained down
And rained down, like...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh let the bullets fly, oh let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer
",False
"Post Malone, Quavo",Congratulations,10,4-Nov-16," Quality Control Music , Republic Records , Trap , Atlanta , Rap  ","Post Malone, Carl Austin Rosen, Louis Bell, Frank Dukes, Metro Boomin & Quavo","Congratulations
Mm-mmm
Yah, yah
Mm-mmm
Yah hey
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" uh, uh
Worked so hard, forgot how to vacation uh-huh
They ain't never had the dedication uh, uh
People hatin', say we changed and look, we made it uh, uh
Yeah, we made it uh, uh
They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like a addict, yeah
I'm surrounded, twenty bad bitches, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important yeah, yeah, yeah, yeah, yeah
But all that mean nothing when I saw my dough, yuh yeah, yeah, yeah, yeah, yeah
Everyone countin' on me, drop the ball, yuh yeah, yeah, yeah, yeah, yeah
Everything custom like I'm at the border, yah, yah
If you fuck with winning, put your lighters to the sky
How could I make cents when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" congratulations
Worked so hard, forgot how to vacation ooh
They ain't never had the dedication uh, uh, ayy
People hatin', say we changed and look we made it uh, uh
Yeah, we made it uh, uh, yah
I was patient yah
Uh, I was patient ayy, uh
Now I can scream that we made it we made it
Now everywhere, everywhere I go, they say 'gratulation uh
Young nigga, young nigga, graduation yah
I pick up the rock and I ball, baby ball
I'm looking for someone to call, baby brr
But right now, I got a situation ayy
Never old Ben-Ben Franklins cash
Big rings, champagne ooh, champagne
My life is like a ball game ball game
But instead, I'm in the trap though trap though
Pot so big, call it Super Bowl Super Bowl
Super Bowl, call the hoes brr
Get in the Rolls skrrt
Top-floor lifestyle top
Huncho and Post yah, ayy Malone ayy
I gotta play on my phone ayy
You know what I'm on ayy
Huncho Houdini is gone ayy
My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" ayy, uh, uh
Worked so hard, forgot how to vacation uh-huh, ooh
They ain't never had the dedication ayy, uh, uh
People hatin', say we changed and look we made it yah,
uh, uh
Yeah, we made it ayy
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
",True
