"Artists","Name","Rank","Date","Genre","Writing.Credits","Songwriter","word"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bank"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","account"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","buy"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","car"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","real"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","tear"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","mall"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","real"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","talk"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","fucking"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bosses"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","shit"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","god"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","pull"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","'rari's"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","shit"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","skrrr"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","choppers"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","harley's"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","shit"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","real"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","gucci'd"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","gucci"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wearing"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","lacoste"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","shit"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","moncler"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yuh"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","fur"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bear"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yuh"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","triple"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","homicide"
